time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130629:1700,25.18,37.3,375.0,553.22,134.0,335.8,6.07,68.0,98795.0
20130629:1800,23.92,42.25,179.0,370.18,88.0,331.8,5.66,62.0,98785.0
20130629:1900,22.77,46.15,25.0,144.36,17.0,326.0,5.17,52.0,98785.0
20130629:2000,21.69,50.45,0.0,-0.0,0.0,321.6,4.55,42.0,98776.0
20130629:2100,21.14,51.3,0.0,-0.0,0.0,318.4,4.62,35.0,98814.0
20130629:2200,20.72,51.25,0.0,-0.0,0.0,316.8,4.41,32.0,98863.0
20130629:2300,20.31,51.35,0.0,-0.0,0.0,316.2,4.0,30.0,98824.0
20130630:0000,19.89,51.6,0.0,-0.0,0.0,317.0,3.72,28.0,98814.0
20130630:0100,19.46,51.4,0.0,-0.0,0.0,317.85,3.86,24.0,98756.0
20130630:0200,19.25,50.5,0.0,-0.0,0.0,318.6,4.14,22.0,98698.0
20130630:0300,19.16,49.6,0.0,-0.0,0.0,318.6,4.21,22.0,98640.0
20130630:0400,18.88,50.05,0.0,-0.0,0.0,319.0,3.93,24.0,98611.0
20130630:0500,18.52,51.1,0.0,0.0,0.0,319.0,3.79,26.0,98601.0
20130630:0600,19.36,48.05,154.0,299.53,86.0,319.8,4.0,28.0,98582.0
20130630:0700,22.39,37.9,350.0,512.54,136.0,326.2,4.48,28.0,98582.0
20130630:0800,24.34,33.8,560.0,688.27,150.0,332.0,5.17,37.0,98582.0
20130630:0900,26.02,30.35,739.0,768.63,163.0,337.6,5.59,47.0,98582.0
20130630:1000,27.29,27.85,892.0,857.03,148.0,343.2,6.07,56.0,98533.0
20130630:1100,28.11,26.35,984.0,882.6,151.0,347.6,6.34,62.0,98514.0
20130630:1200,28.61,25.6,1006.0,858.66,172.0,349.6,6.55,65.0,98504.0
20130630:1300,28.63,26.05,968.0,820.08,190.0,350.4,6.69,67.0,98504.0
20130630:1400,28.29,27.55,889.0,813.62,175.0,349.8,6.69,66.0,98475.0
20130630:1500,27.87,29.05,742.0,728.95,186.0,348.0,6.62,64.0,98407.0
20130630:1600,25.04,33.99,556.0,607.78,184.0,335.1,6.06,60.0,98349.0
20130630:1700,24.77,37.0,358.0,472.72,152.0,335.75,5.62,58.0,98320.0
20130630:1800,24.51,40.01,163.0,268.38,97.0,336.4,5.19,58.0,98311.0
20130630:1900,24.25,43.03,21.0,90.24,16.0,337.06,4.75,56.0,98369.0
20130630:2000,23.99,46.04,0.0,-0.0,0.0,337.71,4.32,49.0,98407.0
20130630:2100,23.73,49.05,0.0,-0.0,0.0,338.36,3.88,40.0,98475.0
20130630:2200,23.46,52.07,0.0,-0.0,0.0,339.01,3.45,34.0,98514.0
20130630:2300,23.2,55.08,0.0,-0.0,0.0,339.66,3.01,31.0,98446.0
20080701:0000,22.94,58.09,0.0,-0.0,0.0,340.32,2.58,13.0,98582.0
20080701:0100,22.68,61.11,0.0,-0.0,0.0,340.97,2.14,19.0,98495.0
20080701:0200,22.42,64.12,0.0,-0.0,0.0,341.62,1.71,22.0,98466.0
20080701:0300,22.16,67.13,0.0,-0.0,0.0,342.27,1.27,32.0,98417.0
20080701:0400,21.89,70.15,0.0,-0.0,0.0,342.93,0.84,41.0,98417.0
20080701:0500,21.63,73.16,0.0,0.0,0.0,343.58,0.4,13.0,98417.0
20080701:0600,21.37,76.17,156.0,334.07,81.0,344.23,-0.03,355.0,98417.0
20080701:0700,21.11,79.19,354.0,556.31,123.0,344.88,-0.47,104.0,98427.0
20080701:0800,25.79,48.0,543.0,643.42,161.0,354.4,1.1,139.0,98436.0
20080701:0900,27.27,43.7,715.0,708.81,185.0,361.4,1.66,152.0,98456.0
20080701:1000,28.48,41.1,846.0,734.86,209.0,367.2,2.41,164.0,98475.0
20080701:1100,29.17,40.5,938.0,772.1,210.0,372.2,2.97,170.0,98466.0
20080701:1200,29.47,41.15,971.0,779.84,214.0,389.2,3.17,176.0,98446.0
20080701:1300,29.64,41.95,955.0,804.5,192.0,380.0,2.97,186.0,98378.0
20080701:1400,29.65,42.6,863.0,752.12,203.0,386.2,2.69,190.0,98291.0
20080701:1500,29.58,43.15,736.0,727.55,181.0,385.2,2.48,195.0,98204.0
20080701:1600,29.37,44.35,566.0,664.81,159.0,386.6,2.62,190.0,98156.0
20080701:1700,28.7,47.45,377.0,580.44,124.0,380.4,2.55,190.0,98126.0
20080701:1800,27.66,52.65,182.0,402.65,83.0,375.8,2.48,190.0,98117.0
20080701:1900,25.92,62.9,18.0,36.27,16.0,364.2,2.07,193.0,98146.0
20080701:2000,24.65,70.7,0.0,-0.0,0.0,359.8,1.72,201.0,98175.0
20080701:2100,23.99,75.65,0.0,-0.0,0.0,356.8,1.52,214.0,98262.0
20080701:2200,23.59,78.7,0.0,-0.0,0.0,355.6,1.38,224.0,98281.0
20080701:2300,23.23,81.2,0.0,-0.0,0.0,354.6,1.31,227.0,98291.0
20080702:0000,22.74,84.05,0.0,-0.0,0.0,354.0,1.24,235.0,98281.0
20080702:0100,22.1,87.55,0.0,-0.0,0.0,352.25,1.31,245.0,98243.0
20080702:0200,21.57,89.55,0.0,-0.0,0.0,350.0,1.45,259.0,98194.0
20080702:0300,21.23,89.05,0.0,-0.0,0.0,346.6,1.52,273.0,98136.0
20080702:0400,21.02,85.85,0.0,-0.0,0.0,343.2,1.52,280.0,98126.0
20080702:0500,20.65,82.0,0.0,0.0,0.0,339.2,1.66,286.0,98088.0
20080702:0600,21.06,73.55,151.0,304.7,83.0,337.0,1.52,287.0,98097.0
20080702:0700,24.54,52.5,362.0,608.66,110.0,350.0,1.1,246.0,98097.0
20080702:0800,27.17,38.95,566.0,749.18,122.0,351.8,2.0,204.0,98126.0
20080702:0900,28.27,39.0,734.0,779.26,152.0,350.2,2.48,192.0,98136.0
20080702:1000,29.28,39.7,878.0,839.35,151.0,355.0,2.83,191.0,98117.0
20080702:1100,30.19,39.05,969.0,865.88,153.0,360.8,3.17,195.0,98097.0
20080702:1200,30.86,37.6,992.0,841.93,175.0,366.0,3.45,200.0,98059.0
20080702:1300,31.55,35.3,966.0,835.24,174.0,369.4,3.72,203.0,98010.0
20080702:1400,31.86,33.9,867.0,767.01,194.0,372.4,3.86,207.0,97962.0
20080702:1500,31.87,33.2,732.0,714.46,187.0,372.2,3.93,212.0,97913.0
20080702:1600,31.63,33.4,576.0,704.03,145.0,370.0,3.86,215.0,97865.0
20080702:1700,31.07,34.6,373.0,557.56,130.0,371.6,3.79,218.0,97787.0
20080702:1800,30.14,37.35,173.0,337.76,90.0,360.4,3.31,224.0,97778.0
20080702:1900,28.41,46.6,21.0,91.11,16.0,353.8,2.62,228.0,97768.0
20080702:2000,27.51,50.25,0.0,-0.0,0.0,346.6,2.28,235.0,97797.0
20080702:2100,27.0,50.95,0.0,-0.0,0.0,343.4,2.48,244.0,97836.0
20080702:2200,26.49,50.4,0.0,-0.0,0.0,343.2,2.48,255.0,97855.0
20080702:2300,25.7,50.05,0.0,-0.0,0.0,341.8,2.48,266.0,97875.0
20080703:0000,24.87,49.15,0.0,-0.0,0.0,340.2,2.48,277.0,97875.0
20080703:0100,24.24,47.9,0.0,-0.0,0.0,337.65,2.62,281.0,97816.0
20080703:0200,23.61,47.1,0.0,-0.0,0.0,335.0,2.69,282.0,97787.0
20080703:0300,23.03,47.3,0.0,-0.0,0.0,332.4,2.69,284.0,97778.0
20080703:0400,22.44,47.6,0.0,-0.0,0.0,330.4,2.55,282.0,97797.0
20080703:0500,21.81,48.3,0.0,0.0,0.0,328.4,2.55,280.0,97768.0
20080703:0600,22.08,46.35,148.0,293.08,83.0,327.6,2.41,279.0,97807.0
20080703:0700,25.38,37.2,367.0,642.0,102.0,331.4,2.34,262.0,97855.0
20080703:0800,28.57,29.35,565.0,747.18,123.0,339.2,3.17,246.0,97884.0
20080703:0900,30.05,26.0,729.0,764.12,159.0,347.2,3.59,233.0,97942.0
20080703:1000,31.07,24.5,863.0,793.82,176.0,354.4,4.21,223.0,97952.0
20080703:1100,31.76,23.55,937.0,771.87,210.0,358.8,4.83,220.0,97962.0
20080703:1200,32.11,23.0,953.0,735.03,240.0,361.2,5.24,223.0,97962.0
20080703:1300,32.36,22.35,944.0,773.2,211.0,362.4,5.31,225.0,97942.0
20080703:1400,32.57,21.8,862.0,752.3,202.0,362.8,5.24,226.0,97923.0
20080703:1500,32.63,21.5,736.0,727.64,181.0,362.4,4.9,226.0,97875.0
20080703:1600,32.35,22.35,570.0,677.97,155.0,362.2,4.48,224.0,97855.0
20080703:1700,31.67,24.25,384.0,612.8,117.0,360.2,3.93,223.0,97855.0
20080703:1800,30.7,27.4,187.0,443.96,78.0,357.2,3.03,222.0,97845.0
20080703:1900,29.16,32.8,19.0,55.02,16.0,353.8,0.97,178.0,97904.0
20080703:2000,27.77,37.2,0.0,-0.0,0.0,349.8,1.17,97.0,97991.0
20080703:2100,26.62,42.2,0.0,-0.0,0.0,347.8,1.79,84.0,98107.0
20080703:2200,25.52,49.3,0.0,-0.0,0.0,347.6,1.79,78.0,98214.0
20080703:2300,24.58,56.05,0.0,-0.0,0.0,346.2,1.93,70.0,98252.0
20080704:0000,23.71,62.4,0.0,-0.0,0.0,345.0,2.21,63.0,98272.0
20080704:0100,22.65,68.15,0.0,-0.0,0.0,344.85,2.41,60.0,98272.0
20080704:0200,22.08,73.9,0.0,-0.0,0.0,344.8,2.55,56.0,98320.0
20080704:0300,21.61,77.7,0.0,-0.0,0.0,345.8,2.69,52.0,98320.0
20080704:0400,21.23,79.85,0.0,-0.0,0.0,346.2,2.69,48.0,98320.0
20080704:0500,20.92,80.85,0.0,0.0,0.0,348.2,2.69,43.0,98398.0
20080704:0600,21.29,78.1,159.0,385.77,74.0,345.6,2.69,41.0,98398.0
20080704:0700,22.55,76.15,356.0,585.7,115.0,354.8,3.45,44.0,98436.0
20080704:0800,24.19,66.55,536.0,630.04,164.0,357.6,3.59,57.0,98475.0
20080704:0900,25.67,58.9,711.0,707.36,184.0,363.0,3.66,73.0,98466.0
20080704:1000,26.86,54.05,853.0,763.27,193.0,366.6,3.72,89.0,98466.0
20080704:1100,27.72,51.4,942.0,787.2,201.0,372.4,3.72,97.0,98466.0
20080704:1200,28.31,50.3,975.0,795.14,204.0,377.8,3.66,104.0,98446.0
20080704:1300,28.71,49.75,949.0,789.24,201.0,381.6,3.66,108.0,98388.0
20080704:1400,29.06,49.35,872.0,782.09,186.0,383.2,3.52,112.0,98378.0
20080704:1500,28.9,50.4,740.0,742.18,174.0,384.2,3.66,116.0,98330.0
20080704:1600,27.98,53.75,569.0,678.12,154.0,383.4,3.03,117.0,98291.0
20080704:1700,27.1,57.0,377.0,580.92,124.0,379.4,2.48,114.0,98281.0
20080704:1800,26.19,60.7,178.0,375.16,86.0,375.2,1.93,112.0,98262.0
20080704:1900,25.09,65.85,17.0,36.98,15.0,369.8,1.93,89.0,98301.0
20080704:2000,24.22,70.05,0.0,-0.0,0.0,366.8,1.38,88.0,98340.0
20080704:2100,23.62,73.35,0.0,-0.0,0.0,363.0,0.76,107.0,98417.0
20080704:2200,23.09,76.55,0.0,-0.0,0.0,362.0,0.62,160.0,98485.0
20080704:2300,22.63,79.6,0.0,-0.0,0.0,363.0,0.48,148.0,98446.0
20080705:0000,22.37,80.9,0.0,-0.0,0.0,360.4,0.97,42.0,98378.0
20080705:0100,21.91,82.85,0.0,-0.0,0.0,356.85,0.76,21.0,98330.0
20080705:0200,21.78,83.65,0.0,-0.0,0.0,355.4,0.41,313.0,98301.0
20080705:0300,21.61,84.25,0.0,-0.0,0.0,353.8,0.55,308.0,98243.0
20080705:0400,21.42,84.25,0.0,-0.0,0.0,352.4,0.62,315.0,98252.0
20080705:0500,21.39,83.15,0.0,0.0,0.0,350.6,0.69,267.0,98320.0
20080705:0600,20.86,85.7,63.0,4.57,62.0,354.4,1.03,236.0,98359.0
20080705:0700,23.26,76.8,107.0,0.0,107.0,366.8,0.9,196.0,98359.0
20080705:0800,24.75,69.1,264.0,30.55,246.0,372.2,1.45,186.0,98378.0
20080705:0900,26.27,61.65,325.0,21.5,309.0,384.8,2.28,188.0,98417.0
20080705:1000,26.94,60.2,683.0,343.78,386.0,397.45,2.76,191.0,98427.0
20080705:1100,27.21,59.9,931.0,756.86,219.0,397.25,2.83,194.0,98407.0
20080705:1200,28.29,55.7,932.0,679.93,273.0,390.0,2.97,196.0,98369.0
20080705:1300,28.8,53.2,965.0,834.87,174.0,400.05,3.1,201.0,98311.0
20080705:1400,29.61,48.8,877.0,797.1,178.0,411.25,3.38,209.0,98252.0
20080705:1500,29.74,47.25,740.0,742.35,174.0,403.65,3.66,208.0,98185.0
20080705:1600,29.48,47.25,560.0,640.74,168.0,397.85,3.66,216.0,98126.0
20080705:1700,29.39,46.75,367.0,526.13,138.0,387.0,3.59,224.0,98059.0
20080705:1800,28.61,49.55,173.0,338.98,90.0,377.4,3.17,218.0,98039.0
20080705:1900,26.26,62.5,17.0,37.34,15.0,369.0,2.9,214.0,98097.0
20080705:2000,25.02,69.2,0.0,-0.0,0.0,360.2,2.55,225.0,98097.0
20080705:2100,24.61,71.7,0.0,-0.0,0.0,354.8,2.34,237.0,98156.0
20080705:2200,24.4,72.75,0.0,-0.0,0.0,352.0,2.28,245.0,98204.0
20080705:2300,24.13,73.45,0.0,-0.0,0.0,350.8,2.07,257.0,98156.0
20080706:0000,23.62,74.4,0.0,-0.0,0.0,349.4,2.07,261.0,98107.0
20080706:0100,23.31,75.8,0.0,-0.0,0.0,348.05,2.28,264.0,98049.0
20080706:0200,22.88,73.85,0.0,-0.0,0.0,345.4,2.34,271.0,98039.0
20080706:0300,22.44,71.15,0.0,-0.0,0.0,342.2,2.34,278.0,97962.0
20080706:0400,21.98,68.2,0.0,-0.0,0.0,338.6,2.28,278.0,97971.0
20080706:0500,21.59,65.55,0.0,0.0,0.0,336.4,2.34,278.0,97952.0
20080706:0600,21.82,61.15,159.0,404.94,71.0,335.2,2.28,279.0,97991.0
20080706:0700,25.28,46.85,360.0,628.73,103.0,338.0,1.72,257.0,98030.0
20080706:0800,27.89,40.65,534.0,629.16,164.0,345.4,2.76,228.0,98049.0
20080706:0900,29.05,38.25,721.0,748.26,165.0,352.2,3.38,221.0,98097.0
20080706:1000,30.05,35.4,856.0,777.4,185.0,358.2,3.72,222.0,98049.0
20080706:1100,30.98,32.65,940.0,786.07,201.0,362.8,4.14,221.0,98068.0
20080706:1200,31.67,31.0,958.0,749.41,232.0,366.8,4.69,222.0,98039.0
20080706:1300,32.11,30.4,949.0,788.7,202.0,372.8,5.1,224.0,97962.0
20080706:1400,32.43,30.4,862.0,752.85,202.0,382.0,5.52,225.0,97904.0
20080706:1500,32.3,31.3,735.0,728.14,180.0,374.2,5.52,227.0,97865.0
20080706:1600,31.98,32.15,569.0,678.62,154.0,370.6,5.66,229.0,97787.0
20080706:1700,31.39,33.35,387.0,636.9,110.0,368.0,5.52,232.0,97778.0
20080706:1800,30.48,35.5,190.0,478.72,73.0,363.4,5.03,235.0,97729.0
20080706:1900,29.63,38.65,19.0,75.54,15.0,356.4,4.07,240.0,97758.0
20080706:2000,28.61,41.65,0.0,-0.0,0.0,351.4,3.66,244.0,97778.0
20080706:2100,27.81,43.6,0.0,-0.0,0.0,347.8,3.31,252.0,97875.0
20080706:2200,27.04,44.8,0.0,-0.0,0.0,344.8,2.97,261.0,97923.0
20080706:2300,26.04,46.1,0.0,-0.0,0.0,340.4,2.69,267.0,97923.0
20080707:0000,24.98,47.05,0.0,-0.0,0.0,335.8,2.55,269.0,97894.0
20080707:0100,23.98,47.3,0.0,-0.0,0.0,331.65,2.48,271.0,97894.0
20080707:0200,23.02,47.9,0.0,-0.0,0.0,328.0,2.48,274.0,97894.0
20080707:0300,22.01,48.9,0.0,-0.0,0.0,325.0,2.41,278.0,97923.0
20080707:0400,21.03,50.45,0.0,-0.0,0.0,321.8,2.28,282.0,97942.0
20080707:0500,20.09,52.3,0.0,0.0,0.0,319.2,2.34,285.0,97952.0
20080707:0600,20.12,52.05,157.0,394.0,72.0,318.8,2.21,288.0,97991.0
20080707:0700,23.94,41.55,355.0,603.91,109.0,323.6,1.59,278.0,98020.0
20080707:0800,26.93,32.1,548.0,691.82,142.0,331.2,1.59,233.0,98078.0
20080707:0900,28.12,29.85,724.0,762.76,158.0,338.8,2.21,205.0,98117.0
20080707:1000,28.96,28.35,874.0,838.44,151.0,345.0,2.41,200.0,98165.0
20080707:1100,29.62,26.95,966.0,864.31,154.0,349.8,2.62,199.0,98194.0
20080707:1200,30.14,25.45,990.0,841.7,175.0,353.8,3.03,199.0,98194.0
20080707:1300,30.48,24.05,980.0,883.01,144.0,355.6,3.38,203.0,98117.0
20080707:1400,30.82,22.5,881.0,812.44,169.0,356.4,3.72,205.0,98097.0
20080707:1500,30.75,22.0,756.0,800.6,146.0,356.0,3.72,206.0,98068.0
20080707:1600,30.21,23.05,594.0,786.95,113.0,355.0,3.59,210.0,98059.0
20080707:1700,29.61,24.65,385.0,625.98,113.0,351.6,3.17,218.0,98010.0
20080707:1800,28.99,26.6,184.0,426.47,80.0,348.2,2.69,222.0,97991.0
20080707:1900,27.22,34.5,22.0,114.83,16.0,344.2,1.59,208.0,97981.0
20080707:2000,26.1,39.45,0.0,-0.0,0.0,340.6,0.97,196.0,98059.0
20080707:2100,25.39,42.75,0.0,-0.0,0.0,342.2,0.41,124.0,98146.0
20080707:2200,24.79,45.95,0.0,-0.0,0.0,343.4,1.1,84.0,98252.0
20080707:2300,23.7,52.5,0.0,-0.0,0.0,341.6,1.38,94.0,98311.0
20080708:0000,22.47,60.95,0.0,-0.0,0.0,336.6,1.38,86.0,98340.0
20080708:0100,21.39,66.75,0.0,-0.0,0.0,338.05,1.45,55.0,98311.0
20080708:0200,20.72,71.7,0.0,-0.0,0.0,338.0,1.52,44.0,98301.0
20080708:0300,20.32,74.9,0.0,-0.0,0.0,339.4,1.52,38.0,98272.0
20080708:0400,20.19,75.9,0.0,-0.0,0.0,332.4,1.45,31.0,98291.0
20080708:0500,19.94,77.05,0.0,0.0,0.0,332.0,1.45,29.0,98349.0
20080708:0600,19.97,77.05,148.0,326.93,78.0,334.6,1.52,36.0,98407.0
20080708:0700,22.74,69.8,350.0,581.43,114.0,344.8,2.41,50.0,98427.0
20080708:0800,24.38,61.75,555.0,730.87,127.0,358.0,3.17,58.0,98485.0
20080708:0900,25.87,54.8,731.0,790.83,145.0,358.2,3.52,70.0,98485.0
20080708:1000,27.15,50.7,882.0,869.45,133.0,365.8,3.79,82.0,98485.0
20080708:1100,28.05,49.05,976.0,896.88,134.0,371.8,4.07,90.0,98504.0
20080708:1200,28.65,48.6,1000.0,874.18,154.0,376.4,4.28,95.0,98495.0
20080708:1300,28.87,49.05,974.0,866.48,154.0,380.0,4.41,97.0,98456.0
20080708:1400,28.89,49.55,881.0,812.76,169.0,383.0,4.34,97.0,98446.0
20080708:1500,28.68,50.45,747.0,770.75,160.0,382.4,4.34,95.0,98407.0
20080708:1600,28.09,52.55,569.0,677.76,155.0,381.2,4.28,91.0,98388.0
20080708:1700,27.28,55.9,368.0,536.81,135.0,378.6,4.07,84.0,98407.0
20080708:1800,26.29,60.5,171.0,337.1,89.0,374.4,3.86,79.0,98407.0
20080708:1900,24.57,69.9,18.0,58.29,15.0,368.2,3.93,69.0,98436.0
20080708:2000,23.58,75.25,0.0,-0.0,0.0,364.4,3.59,65.0,98504.0
20080708:2100,23.13,77.5,0.0,-0.0,0.0,382.2,3.38,57.0,98591.0
20080708:2200,22.8,78.55,0.0,-0.0,0.0,369.0,3.24,50.0,98659.0
20080708:2300,22.55,79.2,0.0,-0.0,0.0,366.2,2.9,47.0,98630.0
20080709:0000,22.32,80.1,0.0,-0.0,0.0,365.4,2.21,50.0,98591.0
20080709:0100,21.85,81.55,0.0,-0.0,0.0,358.05,2.0,56.0,98524.0
20080709:0200,21.43,83.85,0.0,-0.0,0.0,352.0,2.28,48.0,98533.0
20080709:0300,21.08,85.3,0.0,-0.0,0.0,351.0,2.41,38.0,98485.0
20080709:0400,20.64,86.65,0.0,-0.0,0.0,344.2,2.28,32.0,98504.0
20080709:0500,20.09,88.45,0.0,0.0,0.0,341.8,2.0,22.0,98514.0
20080709:0600,20.31,86.3,138.0,263.6,82.0,341.2,1.45,19.0,98543.0
20080709:0700,23.61,64.25,337.0,516.8,128.0,343.2,1.24,75.0,98572.0
20080709:0800,25.04,54.8,497.0,503.15,203.0,351.6,2.14,106.0,98630.0
20080709:0900,25.86,54.3,694.0,664.94,202.0,360.2,2.48,114.0,98688.0
20080709:1000,26.63,53.8,740.0,471.77,334.0,369.0,2.76,112.0,98727.0
20080709:1100,27.41,52.55,700.0,268.62,448.0,376.2,2.97,114.0,98737.0
20080709:1200,28.0,51.85,940.0,708.22,255.0,381.0,3.03,118.0,98669.0
20080709:1300,28.44,51.1,937.0,758.0,220.0,384.6,2.9,121.0,98630.0
20080709:1400,28.67,50.4,856.0,737.74,210.0,385.8,2.83,128.0,98591.0
20080709:1500,28.63,50.45,726.0,700.21,193.0,386.0,2.69,134.0,98533.0
20080709:1600,28.23,51.9,562.0,652.04,164.0,383.2,2.55,130.0,98485.0
20080709:1700,27.36,55.45,369.0,546.72,132.0,378.8,2.34,130.0,98446.0
20080709:1800,26.19,60.65,171.0,338.07,89.0,373.2,1.93,132.0,98466.0
20080709:1900,24.22,68.65,16.0,39.54,14.0,365.2,1.38,154.0,98485.0
20080709:2000,23.21,73.95,0.0,-0.0,0.0,359.0,1.03,165.0,98514.0
20080709:2100,22.65,77.2,0.0,-0.0,0.0,355.8,0.48,178.0,98572.0
20080709:2200,22.37,78.9,0.0,-0.0,0.0,352.6,0.34,192.0,98669.0
20080709:2300,22.11,80.7,0.0,-0.0,0.0,351.0,0.41,243.0,98591.0
20080710:0000,21.89,82.8,0.0,-0.0,0.0,349.4,0.69,258.0,98533.0
20080710:0100,21.51,85.6,0.0,-0.0,0.0,348.25,0.69,244.0,98485.0
20080710:0200,21.42,86.45,0.0,-0.0,0.0,346.8,0.48,276.0,98466.0
20080710:0300,20.82,89.4,0.0,-0.0,0.0,345.4,0.9,345.0,98427.0
20080710:0400,20.39,90.0,0.0,-0.0,0.0,345.0,1.17,2.0,98427.0
20080710:0500,20.88,85.85,0.0,0.0,0.0,344.8,0.76,7.0,98417.0
20080710:0600,21.56,80.8,63.0,4.75,62.0,346.8,0.14,39.0,98456.0
20080710:0700,22.94,74.1,131.0,4.96,129.0,351.6,1.31,177.0,98466.0
20080710:0800,23.9,70.15,240.0,18.87,229.0,383.0,1.72,167.0,98524.0
20080710:0900,25.07,65.4,396.0,69.03,345.0,373.0,1.93,164.0,98524.0
20080710:1000,25.98,62.35,586.0,190.77,422.0,391.25,2.21,174.0,98572.0
20080710:1100,27.09,58.05,948.0,817.16,182.0,390.0,2.55,183.0,98524.0
20080710:1200,28.0,54.55,999.0,873.13,155.0,394.05,2.9,191.0,98485.0
20080710:1300,28.66,51.85,973.0,867.33,153.0,401.85,3.03,197.0,98427.0
20080710:1400,29.06,49.55,885.0,827.23,161.0,415.25,3.1,203.0,98369.0
20080710:1500,29.61,46.45,758.0,814.98,138.0,410.65,3.31,209.0,98281.0
20080710:1600,29.53,45.75,590.0,772.28,119.0,389.25,3.24,216.0,98223.0
20080710:1700,29.25,46.0,379.0,600.64,119.0,379.2,3.31,218.0,98156.0
20080710:1800,28.42,48.45,175.0,372.25,85.0,366.8,3.31,215.0,98136.0
20080710:1900,25.78,64.35,16.0,40.31,14.0,367.4,2.9,207.0,98146.0
20080710:2000,24.38,70.7,0.0,-0.0,0.0,356.0,2.55,216.0,98175.0
20080710:2100,23.86,72.25,0.0,-0.0,0.0,350.0,2.48,223.0,98233.0
20080710:2200,23.48,73.15,0.0,-0.0,0.0,346.0,2.41,231.0,98281.0
20080710:2300,23.28,72.95,0.0,-0.0,0.0,343.6,2.41,244.0,98272.0
20080711:0000,23.02,72.0,0.0,-0.0,0.0,341.2,2.21,257.0,98204.0
20080711:0100,22.75,72.1,0.0,-0.0,0.0,339.05,2.0,268.0,98156.0
20080711:0200,22.16,70.2,0.0,-0.0,0.0,337.0,1.86,277.0,98097.0
20080711:0300,21.55,67.65,0.0,-0.0,0.0,334.6,1.72,288.0,98068.0
20080711:0400,21.08,64.25,0.0,-0.0,0.0,332.2,1.66,297.0,98088.0
20080711:0500,20.57,61.4,0.0,0.0,0.0,330.0,1.66,302.0,98088.0
20080711:0600,20.61,57.75,86.0,43.07,77.0,328.6,1.52,308.0,98126.0
20080711:0700,24.8,39.7,345.0,578.08,113.0,329.2,1.03,292.0,98136.0
20080711:0800,27.97,30.0,548.0,715.2,132.0,337.0,1.17,217.0,98175.0
20080711:0900,29.19,29.95,727.0,790.32,144.0,344.4,1.93,205.0,98185.0
20080711:1000,30.27,28.65,860.0,805.82,168.0,349.2,2.41,206.0,98185.0
20080711:1100,31.28,26.15,952.0,831.69,173.0,353.2,2.97,207.0,98185.0
20080711:1200,32.12,23.4,971.0,793.97,204.0,354.2,3.86,210.0,98156.0
20080711:1300,32.67,20.7,968.0,850.88,164.0,352.6,4.41,213.0,98078.0
20080711:1400,32.9,18.95,880.0,812.83,169.0,350.0,4.62,217.0,98010.0
20080711:1500,32.85,18.65,754.0,799.73,146.0,347.2,4.69,220.0,97952.0
20080711:1600,32.48,19.95,570.0,690.95,149.0,345.6,4.55,225.0,97894.0
20080711:1700,32.06,21.95,381.0,613.19,116.0,345.2,4.34,229.0,97845.0
20080711:1800,31.16,25.55,185.0,456.61,75.0,344.4,3.93,230.0,97836.0
20080711:1900,29.12,34.1,17.0,61.79,14.0,343.4,2.83,231.0,97845.0
20080711:2000,28.19,37.5,0.0,-0.0,0.0,341.0,2.41,245.0,97845.0
20080711:2100,27.78,38.05,0.0,-0.0,0.0,339.4,2.07,259.0,97913.0
20080711:2200,26.82,38.9,0.0,-0.0,0.0,338.4,1.86,282.0,97913.0
20080711:2300,25.5,39.05,0.0,-0.0,0.0,336.0,1.79,299.0,97884.0
20080712:0000,24.19,38.6,0.0,-0.0,0.0,333.8,1.79,309.0,97855.0
20080712:0100,23.67,37.45,0.0,-0.0,0.0,331.25,1.66,311.0,97816.0
20080712:0200,22.91,37.65,0.0,-0.0,0.0,328.6,1.59,308.0,97768.0
20080712:0300,21.9,40.0,0.0,-0.0,0.0,327.0,1.66,308.0,97768.0
20080712:0400,21.07,42.95,0.0,-0.0,0.0,324.6,1.79,311.0,97778.0
20080712:0500,20.3,45.85,0.0,0.0,0.0,322.2,1.86,311.0,97768.0
20080712:0600,20.36,47.1,147.0,366.83,71.0,320.8,1.79,306.0,97787.0
20080712:0700,25.92,31.15,345.0,587.89,110.0,326.4,0.9,298.0,97807.0
20080712:0800,28.2,27.1,528.0,637.62,158.0,335.6,0.97,172.0,97855.0
20080712:0900,29.04,27.7,702.0,704.67,183.0,340.4,1.79,185.0,97875.0
20080712:1000,29.77,26.8,826.0,704.13,222.0,345.0,2.34,194.0,97884.0
20080712:1100,30.34,26.5,915.0,726.6,235.0,350.2,2.97,200.0,97875.0
20080712:1200,30.82,26.6,912.0,639.13,295.0,354.0,3.79,206.0,97816.0
20080712:1300,31.2,26.25,910.0,688.31,260.0,354.8,4.41,213.0,97768.0
20080712:1400,31.47,26.25,798.0,579.97,291.0,356.6,4.9,218.0,97681.0
20080712:1500,31.59,26.75,729.0,713.44,187.0,356.2,5.38,225.0,97642.0
20080712:1600,31.47,27.8,557.0,639.1,168.0,355.2,5.59,229.0,97584.0
20080712:1700,30.86,30.45,382.0,623.56,113.0,353.6,5.31,231.0,97535.0
20080712:1800,29.88,34.15,185.0,458.42,75.0,351.6,4.76,234.0,97545.0
