time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180105:0100,9.54,88.9,0.0,-0.0,0.0,296.8,2.07,297.0,98776.0
20180105:0200,9.18,88.8,0.0,-0.0,0.0,294.2,2.21,290.0,98679.0
20180105:0300,9.05,87.65,0.0,-0.0,0.0,290.0,2.48,284.0,98611.0
20180105:0400,8.84,87.35,0.0,-0.0,0.0,288.6,2.55,284.0,98582.0
20180105:0500,8.49,87.95,0.0,-0.0,0.0,288.0,2.55,286.0,98504.0
20180105:0600,8.14,87.95,0.0,-0.0,0.0,286.2,2.41,289.0,98485.0
20180105:0700,8.09,85.8,0.0,-0.0,0.0,287.0,2.14,294.0,98466.0
20180105:0800,8.22,84.35,34.0,0.0,34.0,291.0,2.21,290.0,98456.0
20180105:0900,11.11,71.3,262.0,696.78,67.0,283.8,2.07,278.0,98436.0
20180105:1000,14.72,55.25,404.0,817.0,77.0,280.0,2.21,255.0,98427.0
20180105:1100,16.86,45.75,494.0,847.98,89.0,287.6,3.03,230.0,98359.0
20180105:1200,17.62,44.1,526.0,844.73,98.0,285.6,3.93,227.0,98223.0
20180105:1300,18.03,42.8,505.0,867.21,84.0,285.8,4.48,228.0,98097.0
20180105:1400,17.99,43.55,419.0,808.82,83.0,286.6,4.69,228.0,97991.0
20180105:1500,17.52,47.0,284.0,710.2,70.0,289.2,4.62,230.0,97933.0
20180105:1600,16.64,53.5,116.0,470.38,45.0,284.6,4.14,231.0,97875.0
20180105:1700,15.4,61.8,0.0,-0.0,0.0,281.8,3.72,236.0,97855.0
20180105:1800,14.28,68.7,0.0,-0.0,0.0,282.6,3.66,243.0,97826.0
20180105:1900,13.52,70.95,0.0,-0.0,0.0,278.6,3.86,247.0,97816.0
20180105:2000,12.65,75.45,0.0,-0.0,0.0,275.2,3.86,250.0,97787.0
20180105:2100,11.95,78.45,0.0,-0.0,0.0,273.8,3.72,253.0,97739.0
20180105:2200,11.29,80.05,0.0,-0.0,0.0,271.0,3.52,253.0,97710.0
20180105:2300,10.63,79.75,0.0,-0.0,0.0,267.8,3.45,254.0,97632.0
